SampleID,Env
ERR4281153,4M(V)
ERR4281154,M(C)
ERR4281155,5Y(V)
ERR4281156,12M(C)
ERR4281157,3Y(C)
ERR4281158,4M(C)
ERR4281159,5Y(C)
ERR4281160,12M(C)
ERR4281161,4M(C)
ERR4281162,B(C)
ERR4281163,M(C)
ERR4281164,B(V)
ERR4281165,M(V)
ERR4281166,5Y(V)
ERR4281167,12M(C)
ERR4281168,4M(C)
ERR4281169,B(C)
ERR4281170,12M(C)
ERR4281171,3Y(C)
ERR4281172,5Y(C)
ERR4281173,M(C)
ERR4281174,12M(C)
ERR4281175,3Y(C)
ERR4281176,4M(C)
ERR4281177,5Y(C)
ERR4281178,12M(C)
ERR4281179,3Y(C)
ERR4281180,4M(C)
ERR4281181,5Y(C)
ERR4281182,M(C)
ERR4281183,12M(C)
ERR4281184,3Y(C)
ERR4281185,5Y(C)
ERR4281186,12M(C)
ERR4281187,3Y(C)
ERR4281188,4M(C)
ERR4281189,5Y(C)
ERR4281190,B(C)
ERR4281191,M(C)
ERR4281192,B(C)
ERR4281193,12M(C)
ERR4281194,4M(C)
ERR4281195,B(C)
ERR4281196,12M(C)
ERR4281197,B(C)
ERR4281198,12M(C)
ERR4281199,3Y(C)
ERR4281200,4M(C)
ERR4281201,B(C)
ERR4281202,M(C)
ERR4281203,12M(C)
ERR4281204,3Y(C)
ERR4281205,4M(C)
ERR4281206,5Y(C)
ERR4281207,B(C)
ERR4281208,M(C)
ERR4281209,12M(C)
ERR4281210,3Y(C)
ERR4281211,4M(C)
ERR4281212,5Y(C)
ERR4281213,B(C)
ERR4281214,12M(C)
ERR4281215,12M(V)
ERR4281216,4M(C)
ERR4281217,B(C)
ERR4281218,M(C)
ERR4281219,4M(C)
ERR4281220,B(C)
ERR4281221,12M(C)
ERR4281222,3Y(C)
ERR4281223,4M(C)
ERR4281224,B(C)
ERR4281225,M(C)
ERR4281226,4M(V)
ERR4281227,12M(C)
ERR4281228,3Y(C)
ERR4281229,4M(C)
ERR4281230,M(C)
ERR4281231,12M(C)
ERR4281232,3Y(C)
ERR4281233,4M(C)
ERR4281234,5Y(C)
ERR4281235,B(C)
ERR4281236,M(C)
ERR4281237,12M(C)
ERR4281238,3Y(C)
ERR4281239,4M(C)
ERR4281240,5Y(C)
ERR4281241,B(C)
ERR4281242,M(C)
ERR4281243,M(V)
ERR4281244,12M(C)
ERR4281245,3Y(C)
ERR4281246,4M(C)
ERR4281247,5Y(C)
ERR4281248,M(C)
ERR4281249,4M(C)
ERR4281250,B(V)
ERR4281251,M(V)
ERR4281252,12M(C)
ERR4281253,3Y(C)
ERR4281254,4M(C)
ERR4281255,B(C)
ERR4281256,M(C)
ERR4281257,12M(C)
ERR4281258,3Y(C)
ERR4281259,4M(C)
ERR4281260,5Y(C)
ERR4281261,B(C)
ERR4281262,M(C)
ERR4281263,12M(C)
ERR4281264,3Y(C)
ERR4281265,4M(C)
ERR4281266,5Y(C)
ERR4281267,B(C)
ERR4281268,12M(C)
ERR4281269,4M(C)
ERR4281270,B(C)
ERR4281271,M(C)
ERR4281272,12M(C)
ERR4281273,3Y(C)
ERR4281274,4M(C)
ERR4281275,5Y(C)
ERR4281276,B(C)
ERR4281277,M(C)
ERR4281278,4M(C)
ERR4281279,12M(C)
ERR4281280,12M(V)
ERR4281281,3Y(C)
ERR4281282,5Y(C)
ERR4281283,12M(C)
ERR4281284,3Y(C)
ERR4281285,4M(C)
ERR4281286,5Y(C)
ERR4281287,B(C)
ERR4281288,M(C)
ERR4281289,4M(V)
ERR4281290,12M(C)
ERR4281291,3Y(C)
ERR4281292,4M(C)
ERR4281293,B(C)
ERR4281294,M(C)
ERR4281295,12M(C)
ERR4281296,4M(C)
ERR4281297,B(C)
ERR4281298,M(C)
ERR4281299,12M(C)
ERR4281300,3Y(C)
ERR4281301,4M(C)
ERR4281302,5Y(C)
ERR4281303,B(C)
ERR4281304,M(C)
ERR4281305,12M(C)
ERR4281306,3Y(C)
ERR4281307,4M(C)
ERR4281308,5Y(C)
ERR4281309,B(C)
ERR4281310,M(C)
ERR4281311,12M(C)
ERR4281312,3Y(C)
ERR4281313,4M(C)
ERR4281314,5Y(C)
ERR4281315,B(C)
ERR4281316,M(C)
ERR4281317,B(V)
ERR4281318,M(V)
ERR4281319,12M(C)
ERR4281320,3Y(C)
ERR4281321,4M(C)
ERR4281322,5Y(C)
ERR4281323,B(C)
ERR4281324,M(C)
ERR4281325,12M(C)
ERR4281326,12M(V)
ERR4281327,3Y(C)
ERR4281328,4M(C)
ERR4281329,5Y(C)
ERR4281330,B(C)
ERR4281331,M(C)
ERR4281332,3Y(V)
ERR4281333,4M(V)
ERR4281334,12M(C)
ERR4281335,12M(C)
ERR4281336,3Y(C)
ERR4281337,4M(C)
ERR4281338,5Y(C)
ERR4281339,M(C)
ERR4281340,12M(C)
ERR4281341,3Y(C)
ERR4281342,4M(C)
ERR4281343,5Y(C)
ERR4281344,B(C)
ERR4281345,M(C)
ERR4281346,M(C)
ERR4281347,12M(V)
ERR4281348,M(V)
ERR4281349,12M(C)
ERR4281350,3Y(C)
ERR4281351,4M(C)
ERR4281352,B(C)
ERR4281353,M(C)
ERR4281354,12M(C)
ERR4281355,12M(V)
ERR4281356,3Y(C)
ERR4281357,4M(C)
ERR4281358,5Y(C)
ERR4281359,B(C)
ERR4281360,M(C)
ERR4281361,12M(C)
ERR4281362,3Y(C)
ERR4281363,4M(C)
ERR4281364,5Y(C)
ERR4281365,B(C)
ERR4281366,M(C)
ERR4281367,12M(C)
ERR4281368,3Y(C)
ERR4281369,4M(C)
ERR4281370,5Y(C)
ERR4281371,B(C)
ERR4281372,M(C)
ERR4281373,3Y(V)
ERR4281374,12M(C)
ERR4281375,3Y(C)
ERR4281376,4M(C)
ERR4281377,5Y(C)
ERR4281378,B(C)
ERR4281379,4M(V)
ERR4281380,M(C)
ERR4281381,5Y(V)
ERR4281382,4M(C)
ERR4281383,3Y(C)
ERR4281384,4M(C)
ERR4281385,B(C)
ERR4281386,M(C)
ERR4281387,12M(C)
ERR4281388,3Y(C)
ERR4281389,4M(C)
ERR4281390,5Y(C)
ERR4281391,B(C)
ERR4281392,M(C)
ERR4281393,M(V)
ERR4281394,12M(C)
ERR4281395,12M(V)
ERR4281396,3Y(C)
ERR4281397,4M(C)
ERR4281398,5Y(C)
ERR4281399,B(C)
ERR4281400,3Y(V)
ERR4281401,4M(V)
ERR4281402,12M(C)
ERR4281403,3Y(C)
ERR4281404,4M(C)
ERR4281405,5Y(C)
ERR4281406,B(C)
ERR4281407,M(C)
ERR4281408,5Y(V)
ERR4281409,12M(C)
ERR4281410,3Y(C)
ERR4281411,4M(C)
ERR4281412,5Y(C)
ERR4281413,B(C)
ERR4281414,M(C)
ERR4281415,4M(C)
ERR4281416,12M(C)
ERR4281417,3Y(C)
ERR4281418,4M(C)
ERR4281419,5Y(C)
ERR4281420,B(C)
ERR4281421,M(C)
ERR4281422,M(V)
ERR4281423,12M(C)
ERR4281424,3Y(C)
ERR4281425,4M(C)
ERR4281426,5Y(C)
ERR4281427,B(C)
ERR4281428,M(C)
ERR4281429,12M(C)
ERR4281430,3Y(C)
ERR4281431,4M(C)
ERR4281432,5Y(C)
ERR4281433,B(C)
ERR4281434,M(C)
ERR4281435,12M(C)
ERR4281436,3Y(C)
ERR4281437,4M(C)
ERR4281438,5Y(C)
ERR4281439,12M(C)
ERR4281440,3Y(C)
ERR4281441,4M(C)
ERR4281442,B(C)
ERR4281443,M(C)
ERR4281444,12M(C)
ERR4281445,3Y(C)
ERR4281446,4M(C)
ERR4281447,5Y(C)
ERR4281448,B(C)
ERR4281449,M(C)
ERR4281450,12M(C)
ERR4281451,3Y(C)
ERR4281452,4M(C)
ERR4281453,5Y(C)
ERR4281454,B(C)
ERR4281455,M(C)
ERR4281456,12M(C)
ERR4281457,3Y(C)
ERR4281458,4M(C)
ERR4281459,5Y(C)
ERR4281460,B(C)
ERR4281461,M(C)
ERR4281462,12M(C)
ERR4281463,3Y(C)
ERR4281464,4M(C)
ERR4281465,5Y(C)
ERR4281466,B(C)
ERR4281467,M(C)
ERR4281468,12M(C)
ERR4281469,3Y(C)
ERR4281470,4M(C)
ERR4281471,5Y(C)
ERR4281472,B(C)
ERR4281473,M(C)
ERR4281474,12M(C)
ERR4281475,4M(C)
ERR4281476,5Y(C)
ERR4281477,3Y(C)
ERR4281478,4M(C)
ERR4281479,5Y(C)
ERR4281480,B(C)
ERR4281481,M(C)
ERR4281482,3Y(C)
ERR4281483,4M(C)
ERR4281484,5Y(C)
ERR4281485,B(C)
ERR4281486,M(C)
ERR4281487,12M(C)
ERR4281488,3Y(C)
ERR4281489,4M(C)
ERR4281490,B(C)
ERR4281491,M(C)
ERR4281492,3Y(C)
ERR4281493,4M(C)
ERR4281494,5Y(C)
ERR4281495,12M(C)
ERR4281496,3Y(C)
ERR4281497,4M(C)
ERR4281498,5Y(C)
ERR4281499,M(C)
ERR4281500,12M(C)
ERR4281501,4M(C)
ERR4281502,12M(C)
ERR4281503,3Y(C)
ERR4281504,4M(C)
ERR4281505,B(C)
ERR4281506,M(C)
ERR4281507,12M(C)
ERR4281508,3Y(C)
ERR4281509,4M(C)
ERR4281510,5Y(C)
ERR4281511,B(C)
ERR4281512,M(C)
ERR4281513,12M(C)
ERR4281514,3Y(C)
ERR4281515,4M(C)
ERR4281516,5Y(C)
ERR4281517,B(C)
ERR4281518,M(C)
ERR4281519,12M(C)
ERR4281520,4M(C)
ERR4281521,B(C)
ERR4281522,M(C)
ERR4281523,12M(V)
ERR4281524,3Y(C)
ERR4281525,4M(C)
ERR4281526,5Y(C)
ERR4281527,B(C)
ERR4281528,M(C)
ERR4281529,B(C)
ERR4281530,M(C)
ERR4281531,12M(C)
ERR4281532,3Y(C)
ERR4281533,4M(C)
ERR4281534,5Y(C)
ERR4281535,B(C)
ERR4281536,M(C)
ERR4281537,3Y(V)
ERR4281538,4M(V)
ERR4281539,12M(C)
ERR4281540,4M(C)
ERR4281541,B(C)
ERR4281542,5Y(V)
ERR4281543,12M(C)
ERR4281544,3Y(C)
ERR4281545,4M(C)
ERR4281546,5Y(C)
ERR4281547,B(C)
ERR4281548,M(C)
ERR4281549,12M(C)
ERR4281550,3Y(C)
ERR4281551,4M(C)
ERR4281552,5Y(C)
ERR4281553,B(C)
ERR4281554,M(C)
ERR4281555,12M(C)
ERR4281556,3Y(C)
ERR4281557,4M(C)
ERR4281558,B(C)
ERR4281559,M(C)
ERR4281560,M(V)
ERR4281561,12M(C)
ERR4281562,3Y(C)
ERR4281563,4M(C)
ERR4281564,5Y(C)
ERR4281565,B(C)
ERR4281566,M(C)
ERR4281567,4M(C)
ERR4281568,B(C)
ERR4281569,M(C)
ERR4281570,12M(C)
ERR4281571,3Y(C)
ERR4281572,4M(C)
ERR4281573,5Y(C)
ERR4281574,B(C)
ERR4281575,M(C)
ERR4281576,12M(C)
ERR4281577,3Y(C)
ERR4281578,4M(C)
ERR4281579,3Y(V)
ERR4281580,12M(C)
ERR4281581,4M(C)
ERR4281582,B(C)
ERR4281583,4M(V)
ERR4281584,M(C)
ERR4281585,12M(C)
ERR4281586,12M(C)
ERR4281587,3Y(C)
ERR4281588,4M(C)
ERR4281589,5Y(C)
ERR4281590,B(C)
ERR4281591,M(C)
ERR4281592,M(V)
ERR4281593,12M(C)
ERR4281594,12M(V)
ERR4281595,3Y(C)
ERR4281596,4M(C)
ERR4281597,5Y(C)
ERR4281598,B(C)
ERR4281599,M(C)
ERR4281600,12M(C)
ERR4281601,4M(C)
ERR4281602,B(C)
ERR4281603,M(C)
ERR4281604,3Y(V)
ERR4281605,12M(C)
ERR4281606,3Y(C)
ERR4281607,4M(C)
ERR4281608,5Y(C)
ERR4281609,B(C)
ERR4281610,4M(V)
ERR4281611,M(C)
ERR4281612,5Y(V)
ERR4281613,B(C)
ERR4281614,M(C)
ERR4281615,3Y(C)
ERR4281616,4M(C)
ERR4281617,5Y(C)
ERR4281618,B(C)
ERR4281619,M(C)
ERR4281620,M(C)
ERR4281621,M(V)
ERR4281622,3Y(C)
ERR4281623,4M(C)
ERR4281624,B(C)
ERR4281625,M(C)
ERR4281626,12M(V)
ERR4281627,3Y(C)
ERR4281628,4M(C)
ERR4281629,5Y(C)
ERR4281630,B(C)
ERR4281631,M(C)
ERR4281632,3Y(C)
ERR4281633,4M(C)
ERR4281634,5Y(C)
ERR4281635,B(C)
ERR4281636,M(C)
ERR4281637,3Y(C)
ERR4281638,4M(C)
ERR4281639,B(C)
ERR4281640,M(C)
ERR4281641,12M(C)
ERR4281642,B(C)
ERR4281643,M(C)
ERR4281644,3Y(C)
ERR4281645,4M(C)
ERR4281646,5Y(C)
ERR4281647,B(C)
ERR4281648,M(C)
ERR4281649,3Y(C)
ERR4281650,4M(C)
ERR4281651,5Y(C)
ERR4281652,B(C)
ERR4281653,M(C)
ERR4281654,12M(V)
ERR4281655,B(C)
ERR4281656,12M(C)
ERR4281657,3Y(C)
ERR4281658,4M(C)
ERR4281659,5Y(C)
ERR4281660,B(C)
ERR4281661,M(C)
ERR4281662,3Y(V)
ERR4281663,4M(V)
ERR4281664,5Y(V)
ERR4281665,12M(C)
ERR4281666,3Y(C)
ERR4281667,4M(C)
ERR4281668,B(C)
ERR4281669,M(C)
ERR4281670,M(V)
ERR4281671,12M(C)
ERR4281672,12M(V)
ERR4281673,B(C)
ERR4281674,M(C)
ERR4281675,12M(C)
ERR4281676,4M(C)
ERR4281677,3Y(V)
ERR4281678,4M(C)
ERR4281679,B(C)
ERR4281680,4M(V)
ERR4281681,M(C)
ERR4281682,12M(C)
ERR4281683,3Y(C)
ERR4281684,4M(C)
ERR4281685,5Y(C)
ERR4281686,B(C)
ERR4281687,M(C)
ERR4281688,3Y(C)
ERR4281689,5Y(C)
ERR4281690,B(C)
ERR4281691,M(C)
ERR4281692,12M(C)
ERR4281693,3Y(C)
ERR4281694,4M(C)
ERR4281695,5Y(C)
ERR4281696,B(C)
ERR4281697,M(C)
ERR4281698,12M(C)
ERR4281699,3Y(C)
ERR4281700,4M(C)
ERR4281701,B(C)
ERR4281702,M(C)
ERR4281703,M(V)
ERR4281704,3Y(V)
ERR4281705,3Y(C)
ERR4281706,4M(C)
ERR4281707,B(C)
ERR4281708,M(C)
ERR4281709,4M(V)
ERR4281710,5Y(V)
ERR4281711,12M(V)
ERR4281712,4M(V)
ERR4281713,B(V)
ERR4281714,M(V)
ERR4281715,12M(V)
ERR4281716,3Y(V)
ERR4281717,4M(V)
ERR4281718,5Y(V)
ERR4281719,B(V)
ERR4281720,M(V)
ERR4281721,B(V)
ERR4281722,M(V)
ERR4281723,12M(V)
ERR4281724,3Y(V)
ERR4281725,4M(V)
ERR4281726,M(V)
ERR4281727,12M(V)
ERR4281728,12M(V)
ERR4281729,3Y(V)
ERR4281730,4M(V)
ERR4281731,B(V)
ERR4281732,M(V)
ERR4281733,12M(V)
ERR4281734,4M(V)
ERR4281735,5Y(V)
ERR4281736,B(V)
ERR4281737,M(V)
ERR4281738,4M(V)
ERR4281739,12M(V)
ERR4281740,4M(V)
ERR4281741,5Y(V)
ERR4281742,B(V)
ERR4281743,M(V)
ERR4281744,12M(V)
ERR4281745,3Y(V)
ERR4281746,4M(V)
ERR4281747,5Y(V)
ERR4281748,B(V)
ERR4281749,M(V)
ERR4281750,12M(V)
ERR4281751,4M(V)
ERR4281752,M(V)
ERR4281753,M(V)
ERR4281754,3Y(V)
ERR4281755,12M(V)
ERR4281756,3Y(V)
ERR4281757,12M(V)
ERR4281758,3Y(V)
ERR4281759,4M(V)
ERR4281760,5Y(V)
ERR4281761,B(V)
ERR4281762,M(V)
ERR4281763,12M(V)
ERR4281764,3Y(V)
ERR4281765,4M(V)
ERR4281766,5Y(V)
ERR4281767,M(V)
ERR4281768,4M(V)
ERR4281769,12M(V)
ERR4281770,3Y(V)
ERR4281771,4M(V)
ERR4281772,5Y(V)
ERR4281773,B(V)
ERR4281774,M(V)
ERR4281775,12M(V)
ERR4281776,3Y(V)
ERR4281777,4M(V)
ERR4281778,5Y(V)
ERR4281779,M(V)
ERR4281780,12M(V)
ERR4281781,3Y(V)
ERR4281782,4M(V)
ERR4281783,M(V)
ERR4281784,4M(V)
ERR4281785,B(V)
ERR4281786,5Y(V)
ERR4281787,12M(V)
ERR4281788,3Y(V)
ERR4281789,4M(V)
ERR4281790,5Y(V)
ERR4281791,M(V)
ERR4281792,12M(V)
ERR4281793,12M(V)
ERR4281794,3Y(V)
ERR4281795,4M(V)
ERR4281796,M(V)
ERR4281797,12M(V)
ERR4281798,3Y(V)
ERR4281799,4M(V)
ERR4281800,5Y(V)
ERR4281801,B(V)
ERR4281802,M(V)
ERR4281803,3Y(V)
ERR4281804,4M(V)
ERR4281805,12M(V)
ERR4281806,3Y(V)
ERR4281807,4M(V)
ERR4281808,5Y(V)
ERR4281809,M(V)
ERR4281810,5Y(V)
ERR4281811,12M(V)
ERR4281812,3Y(V)
ERR4281813,4M(V)
ERR4281814,5Y(V)
ERR4281815,B(V)
ERR4281816,M(V)
ERR4281817,B(V)
ERR4281818,M(V)
ERR4281819,12M(V)
ERR4281820,12M(V)
ERR4281821,3Y(V)
ERR4281822,4M(V)
ERR4281823,5Y(V)
ERR4281824,M(V)
ERR4281825,12M(V)
ERR4281826,4M(V)
ERR4281827,B(V)
ERR4281828,M(V)
ERR4281829,3Y(V)
ERR4281830,4M(V)
ERR4281831,3Y(V)
ERR4281832,4M(V)
ERR4281833,5Y(V)
ERR4281834,M(V)
ERR4281835,5Y(V)
ERR4281836,12M(V)
ERR4281837,3Y(V)
ERR4281838,4M(V)
ERR4281839,5Y(V)
ERR4281840,B(V)
ERR4281841,M(V)
ERR4281842,B(V)
ERR4281843,M(V)
ERR4281844,12M(V)
ERR4281845,3Y(V)
ERR4281846,4M(V)
ERR4281847,5Y(V)
ERR4281848,B(V)
ERR4281849,M(V)
ERR4281850,12M(V)
ERR4281851,12M(V)
ERR4281852,3Y(V)
ERR4281853,4M(V)
ERR4281854,5Y(V)
ERR4281855,B(V)
ERR4281856,M(V)
ERR4281857,12M(V)
ERR4281858,4M(V)
ERR4281859,12M(V)
ERR4281860,3Y(V)
ERR4281861,4M(V)
ERR4281862,B(V)
ERR4281863,4M(V)
ERR4281864,M(V)
ERR4281865,12M(V)
ERR4281866,3Y(V)
ERR4281867,4M(V)
ERR4281868,M(V)
ERR4281869,B(V)
ERR4281870,M(V)
ERR4281871,12M(V)
ERR4281872,4M(V)
ERR4281873,5Y(V)
ERR4281874,M(V)
ERR4281875,12M(V)
ERR4281876,12M(V)
ERR4281877,3Y(V)
ERR4281878,4M(V)
ERR4281879,5Y(V)
ERR4281880,M(V)
ERR4281881,3Y(V)
ERR4281882,12M(V)
ERR4281883,3Y(V)
ERR4281884,4M(V)
ERR4281885,5Y(V)
ERR4281886,4M(V)
ERR4281887,M(V)
ERR4281888,12M(V)
ERR4281889,4M(V)
ERR4281890,B(V)
ERR4281891,M(V)
ERR4281892,5Y(V)
ERR4281893,4M(V)
ERR4281894,B(V)
ERR4281895,M(V)
ERR4281896,M(V)
ERR4281897,B(V)
ERR4281898,M(V)
ERR4281899,12M(V)
ERR4281900,3Y(V)
ERR4281901,4M(V)
ERR4281902,5Y(V)
ERR4281903,M(V)
ERR4281904,12M(V)
ERR4281905,4M(V)
ERR4281906,5Y(V)
ERR4281907,B(V)
ERR4281908,M(V)
ERR4281909,12M(V)
ERR4281910,4M(V)
ERR4281911,12M(V)
ERR4281912,3Y(V)
ERR4281913,4M(V)
ERR4281914,5Y(V)
ERR4281915,B(V)
ERR4281916,M(V)
ERR4281917,12M(C)
ERR4281918,3Y(C)
ERR4281919,4M(C)
ERR4281920,5Y(C)
ERR4281921,12M(V)
ERR4281922,B(V)
ERR4281923,M(V)
ERR4281924,12M(V)
ERR4281925,4M(V)
ERR4281926,M(V)
ERR4281927,12M(V)
ERR4281928,3Y(V)
ERR4281929,4M(V)
ERR4281930,5Y(V)
ERR4281931,M(V)
ERR4281932,12M(V)
ERR4281933,3Y(V)
ERR4281934,4M(V)
ERR4281935,5Y(V)
ERR4281936,12M(V)
ERR4281937,4M(V)
ERR4281938,M(V)
ERR4281939,12M(V)
ERR4281940,3Y(V)
ERR4281941,4M(V)
ERR4281942,M(V)
ERR4281943,12M(V)
ERR4281944,12M(V)
ERR4281945,3Y(V)
ERR4281946,4M(V)
ERR4281947,5Y(V)
ERR4281948,B(V)
ERR4281949,M(V)
ERR4281950,12M(V)
ERR4281951,3Y(V)
ERR4281952,4M(V)
ERR4281953,5Y(V)
ERR4281954,B(V)
ERR4281955,M(V)
ERR4281956,M(V)
ERR4281957,12M(V)
ERR4281958,12M(V)
ERR4281959,4M(V)
ERR4281960,5Y(V)
ERR4281961,12M(V)
ERR4281962,3Y(V)
ERR4281963,4M(V)
ERR4281964,5Y(V)
ERR4281965,3Y(V)
ERR4281966,3Y(V)
ERR4281967,4M(V)
ERR4281968,5Y(V)
ERR4281969,B(V)
ERR4281970,4M(V)
ERR4281971,M(V)
ERR4281972,5Y(V)
ERR4281973,12M(V)
ERR4281974,3Y(V)
ERR4281975,4M(V)
ERR4281976,5Y(V)
ERR4281977,M(V)
ERR4281978,4M(V)
ERR4281979,M(V)
ERR4281980,12M(V)
ERR4281981,4M(V)
ERR4281982,B(V)
ERR4281983,M(V)
ERR4281984,12M(V)
ERR4281985,3Y(V)
ERR4281986,4M(V)
ERR4281987,5Y(V)
ERR4281988,M(V)
ERR4281989,M(V)
ERR4281990,12M(V)
ERR4281991,3Y(V)
ERR4281992,4M(V)
ERR4281993,5Y(V)
ERR4281994,M(V)
ERR4281995,12M(V)
ERR4281996,12M(V)
ERR4281997,3Y(V)
ERR4281998,4M(V)
ERR4281999,5Y(V)
ERR4282000,B(V)
ERR4282001,M(V)
ERR4282002,12M(V)
ERR4282003,4M(V)
ERR4282004,B(V)
ERR4282005,M(V)
ERR4282006,12M(V)
ERR4282007,3Y(V)
ERR4282008,4M(V)
ERR4282009,5Y(V)
ERR4282010,3Y(V)
ERR4282011,12M(V)
ERR4282012,4M(V)
ERR4282013,B(V)
ERR4282014,4M(V)
ERR4282015,M(V)
ERR4282016,5Y(V)
ERR4282017,4M(V)
ERR4282018,12M(V)
ERR4282019,3Y(V)
ERR4282020,4M(V)
ERR4282021,5Y(V)
ERR4282022,M(V)
ERR4282023,12M(V)
ERR4282024,3Y(V)
ERR4282025,4M(V)
ERR4282026,5Y(V)
ERR4282027,M(V)
ERR4282028,M(V)
ERR4282029,12M(V)
ERR4282030,3Y(V)
ERR4282031,4M(V)
ERR4282032,5Y(V)
ERR4282033,B(V)
ERR4282034,12M(V)
ERR4282035,3Y(V)
ERR4282036,4M(V)
ERR4282037,5Y(V)
ERR4282038,B(V)
ERR4282039,M(V)
ERR4282040,12M(V)
ERR4282041,4M(V)
ERR4282042,B(V)
ERR4282043,M(V)
ERR4282044,12M(V)
ERR4282045,3Y(V)
ERR4282046,4M(V)
ERR4282047,M(V)
ERR4282048,12M(V)
ERR4282049,4M(V)
ERR4282050,B(V)
ERR4282051,M(V)
ERR4282052,12M(V)
ERR4282053,4M(V)
ERR4282054,5Y(V)
ERR4282055,12M(V)
ERR4282056,4M(V)
ERR4282057,M(V)
ERR4282058,12M(V)
ERR4282059,3Y(V)
ERR4282060,4M(V)
ERR4282061,5Y(V)
ERR4282062,M(V)
ERR4282063,12M(V)
ERR4282064,3Y(V)
ERR4282065,4M(V)
ERR4282066,5Y(V)
ERR4282067,12M(C)
ERR4282068,3Y(V)
ERR4282069,4M(V)
ERR4282070,5Y(V)
ERR4282071,B(V)
ERR4282072,M(V)
ERR4282073,12M(V)
ERR4282074,3Y(V)
ERR4282075,4M(V)
ERR4282076,5Y(V)
ERR4282077,B(V)
ERR4282078,M(V)
ERR4282079,3Y(C)
ERR4282080,4M(C)
ERR4282081,12M(V)
ERR4282082,3Y(V)
ERR4282083,4M(V)
ERR4282084,5Y(V)
ERR4282085,B(V)
ERR4282086,M(V)
ERR4282087,5Y(C)
ERR4282088,12M(V)
ERR4282089,3Y(V)
ERR4282090,4M(V)
ERR4282091,5Y(V)
ERR4282092,M(V)
